source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Xia2024,Xia2024_F13_original_w30,412.8440366972477,30.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,186000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=30 rad/s, per-arm torque=6200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006200796006139053,40192410.835031815,0.39331999574666493,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_original_w40,733.9449541284404,40.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,460000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=40 rad/s, per-arm torque=11500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006469580510437419,53589881.11337575,0.5244266609955532,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_original_w57,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1282500.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=57 rad/s, per-arm torque=22500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.00623348718336738,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_non_chamfer_w10,45.87155963302752,10.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,9000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=10 rad/s, per-arm torque=900 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.008101039943504246,13397470.278343938,0.1311066652488883,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_non_chamfer_w20,183.4862385321101,20.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,76000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=20 rad/s, per-arm torque=3800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.00855109771814337,26794940.556687877,0.2622133304977766,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_non_chamfer_w30,412.8440366972477,30.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,225000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=30 rad/s, per-arm torque=7500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0075009629106520806,40192410.835031815,0.39331999574666493,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_non_chamfer_w40,733.9449541284404,40.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,520000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=40 rad/s, per-arm torque=13000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0073134388378857775,53589881.11337575,0.5244266609955532,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_non_chamfer_w57,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1396500.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=57 rad/s, per-arm torque=24500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006787574933000036,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_rounded_fillet_w10,45.87155963302752,10.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,7000.0,5.0,CHIEF_rounded_fillet_arm,digitized_from_figure,"Fig13, Armature with rounded fillet corners, ω=10 rad/s, per-arm torque=700 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006300808844947747,13397470.278343938,0.1311066652488883,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_rounded_fillet_w20,183.4862385321101,20.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,56000.0,5.0,CHIEF_rounded_fillet_arm,digitized_from_figure,"Fig13, Armature with rounded fillet corners, ω=20 rad/s, per-arm torque=2800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006300808844947747,26794940.556687877,0.2622133304977766,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
